Order	Lambda	Cal	Bkgrnd
	(um)	(DN/s/col)	(DN/s/pix)
4	1.8491914	9.653	0.715
4	1.8489797	2.943	0.697
4	1.848768	1.171	0.75
4	1.8485563	-2.026	0.798
4	1.8483446	-1.722	0.752
4	1.8481327	-1.772	0.791
4	1.847921	-1.119	0.76
4	1.8477093	-0.469	0.774
4	1.8474976	-0.839	0.732
4	1.8472857	-1.141	0.751
4	1.847074	-0.104	0.734
4	1.8468623	-0.26	0.784
4	1.8466505	-0.484	0.723
4	1.8464388	-0.298	0.726
4	1.8462269	4.793	0.942
4	1.8460152	20.46	2.862
4	1.8458034	31.631	3.548
4	1.8455915	37.313	1.925
4	1.8453797	75.776	0.677
4	1.845168	75.467	0.607
4	1.8449562	99.788	0.58
4	1.8447443	96.152	0.57
4	1.8445325	106.52	0.573
4	1.8443207	88.776	0.612
4	1.8441088	54.722	0.691
4	1.843897	15.857	0.748
4	1.8436852	23.372	0.739
4	1.8434732	16.32	1.231
4	1.8432614	23.574	1.661
4	1.8430495	44.295	1.26
4	1.8428377	34.382	0.73
4	1.8426257	7.882	0.719
4	1.8424139	-0.186	0.729
4	1.8422019	-0.826	0.757
4	1.8419901	-1.114	0.774
4	1.8417782	-1.44	0.755
4	1.8415663	-0.387	0.777
4	1.8413544	0.562	0.728
4	1.8411424	6.109	0.729
4	1.8409305	17.111	0.694
4	1.8407186	17.492	0.7
4	1.8405067	7.257	0.758
4	1.8402947	0.002	0.727
4	1.8400828	-1.074	0.713
4	1.8398708	-1.453	0.743
4	1.8396589	-0.65	0.723
4	1.8394469	0.794	0.713
4	1.8392349	16.616	0.666
4	1.839023	31.237	0.649
4	1.8388109	36.914	0.653
4	1.838599	25.584	0.681
4	1.838387	6.579	0.712
4	1.8381749	1.436	0.71
4	1.837963	-0.671	0.759
4	1.8377509	-1.05	0.73
4	1.837539	-1.627	0.744
4	1.8373269	-1.395	0.691
4	1.8371149	5.106	0.685
4	1.8369029	13.027	0.655
4	1.8366908	9.807	0.649
4	1.8364788	0.852	0.7
4	1.8362668	2.341	0.71
4	1.8360547	-0.12	0.691
4	1.8358426	0.66	0.704
4	1.8356305	3.666	0.683
4	1.8354185	8.561	0.668
4	1.8352064	1.776	0.712
4	1.8349943	-0.667	0.692
4	1.8347822	-0.02	0.685
4	1.8345702	2.782	0.663
4	1.8343581	13.766	0.63
4	1.8341459	37.125	0.6
4	1.8339338	51.792	0.573
4	1.8337218	88.244	0.563
4	1.8335096	95.447	0.544
4	1.8332975	62.953	0.603
4	1.8330853	32.319	0.654
4	1.8328732	22.544	0.676
4	1.832661	4.631	0.7
4	1.832449	4.755	0.674
4	1.8322368	32.968	0.749
4	1.8320246	63.898	0.818
4	1.8318124	64.575	0.687
4	1.8316003	46.033	0.623
4	1.8313881	14.093	0.698
4	1.8311759	0.562	0.68
4	1.8309637	0.732	0.659
4	1.8307515	16.95	0.638
4	1.8305393	36.372	0.654
4	1.8303272	26.37	0.682
4	1.830115	4.345	0.705
4	1.8299026	6.594	0.789
4	1.8296905	35.782	0.985
4	1.8294783	70.393	1.222
4	1.8292661	60.223	1.062
4	1.8290538	22.439	0.757
4	1.8288416	3.366	0.695
4	1.8286293	6.472	0.722
4	1.8284171	11.777	0.695
4	1.8282048	7.72	0.721
4	1.8279926	32.563	0.982
4	1.8277802	73.092	1.119
4	1.8275679	89.214	0.975
4	1.8273557	113.51	0.912
4	1.8271434	108.68	0.999
4	1.8269311	76.666	0.978
4	1.8267188	31.996	0.785
4	1.8265065	4.068	0.696
4	1.8262942	0.15	0.666
4	1.8260819	0.998	0.699
4	1.8258696	16.136	0.781
4	1.8256572	55.662	2.12
4	1.8254449	87.874	7.185
4	1.8252326	103.7	7.284
4	1.8250202	101.89	3.64
4	1.8248079	65.05	0.694
4	1.8245956	123.13	0.51
4	1.8243831	176.48	0.485
4	1.8241708	184.19	0.471
4	1.8239585	188.98	0.455
4	1.8237461	189.94	0.469
4	1.8235338	191.53	0.59
4	1.8233213	172.73	1.256
4	1.8231089	155.48	1.378
4	1.8228966	97.122	0.849
4	1.8226842	25.604	0.606
4	1.8224717	21.462	0.614
4	1.8222593	21.794	0.625
4	1.8220469	3.478	0.659
4	1.8218344	4.364	0.68
4	1.821622	12.945	0.692
4	1.8214096	8.19	0.742
4	1.8211972	30.74	1.914
4	1.8209847	38.671	2.524
4	1.8207723	11.988	1.488
4	1.8205599	0.948	0.728
4	1.8203474	-0.764	0.64
4	1.8201349	2.073	0.6
4	1.8199224	21.052	0.595
4	1.81971	50.893	0.583
4	1.8194975	89.493	0.49
4	1.819285	136.63	0.466
4	1.8190725	144.17	0.481
4	1.8188601	102.82	0.514
4	1.8186475	27.873	0.586
4	1.8184351	10.513	0.569
4	1.8182225	48.162	0.531
4	1.81801	117.26	0.509
4	1.8177974	149.65	0.476
4	1.8175849	157.32	0.489
4	1.8173724	141.28	0.507
4	1.8171599	81.339	0.553
4	1.8169473	43.313	0.567
4	1.8167348	79.427	0.536
4	1.8165222	120.92	0.53
4	1.8163097	65.35	0.546
4	1.816097	49.372	0.568
4	1.8158845	62.421	0.563
4	1.8156719	18.182	0.608
4	1.8154594	8.938	0.629
4	1.8152467	42.898	0.626
4	1.8150342	68.765	0.624
4	1.8148216	67.552	0.663
4	1.8146089	156.28	0.685
4	1.8143964	209.59	0.556
4	1.8141837	212.98	0.629
4	1.8139712	211.93	0.66
4	1.8137585	178.93	0.652
4	1.8135458	102.66	0.598
4	1.8133333	122.98	0.693
4	1.8131206	115.83	0.705
4	1.8129079	38.943	0.655
4	1.8126953	11.613	0.602
4	1.8124826	55.918	0.626
4	1.8122699	97.312	0.899
4	1.8120573	51.851	11.67
4	1.8118446	86.152	42.808
4	1.8116319	176.12	40.254
4	1.8114192	164.22	9.43
4	1.8112066	73.051	0.867
4	1.8109939	13.92	0.654
4	1.8107812	37.844	0.645
4	1.8105685	64.494	0.607
4	1.8103558	48.616	0.594
4	1.8101431	137.44	0.507
4	1.8099303	195.99	0.465
4	1.8097177	233.37	0.444
4	1.8095049	215.1	0.468
4	1.8092922	203.26	0.49
4	1.8090794	169.23	0.535
4	1.8088667	101.99	0.526
4	1.808654	166.41	0.538
4	1.8084412	177.44	0.5
4	1.8082284	232.91	0.464
4	1.8080157	243.65	0.455
4	1.8078029	192.38	0.533
4	1.8075901	97.369	0.578
4	1.8073773	75.977	0.589
4	1.8071645	109.03	0.711
4	1.8069518	196.26	8.739
4	1.806739	171.05	19.461
4	1.8065262	81.528	14.233
4	1.8063134	22.907	1.614
4	1.8061005	21.456	0.65
4	1.8058877	70.916	0.575
4	1.8056749	74.799	0.734
4	1.8054621	115.82	1.357
4	1.8052492	228.3	1.316
4	1.8050364	264.5	1.179
4	1.8048235	260.4	1.895
4	1.8046107	218.34	1.774
4	1.8043978	195.77	1.274
4	1.804185	238.42	1.303
4	1.8039721	198	1.265
4	1.8037592	133.9	1.066
4	1.8035464	135.83	1.156
4	1.8033335	124.37	1.866
4	1.8031206	197.16	2.152
4	1.8029077	209.84	1.676
4	1.8026948	112.67	1.614
4	1.8024819	103.71	1.443
4	1.802269	111.71	1.016
4	1.8020561	81.458	0.91
4	1.8018432	155.49	0.982
4	1.8016303	141.48	0.834
4	1.8014174	111.91	0.676
4	1.8012044	85.07	0.622
4	1.8009915	30.802	0.637
4	1.8007785	93.116	0.582
4	1.8005656	149.73	0.563
4	1.8003527	79.805	0.623
4	1.8001397	97.877	0.66
4	1.7999268	117.98	0.861
4	1.7997137	84.407	5.642
4	1.7995008	175.45	78.093
4	1.7992878	265.77	109.46
4	1.7990749	287.51	59.412
4	1.7988619	292.47	3.016
4	1.7986488	290.73	0.791
4	1.7984358	286.85	0.68
4	1.7982229	241.08	0.53
4	1.7980099	160.94	0.529
4	1.7977968	228.27	0.527
4	1.7975838	275.33	0.481
4	1.7973708	272.92	0.555
4	1.7971578	252.71	0.548
4	1.7969447	144.59	0.508
4	1.7967317	137.54	0.494
4	1.7965187	250.99	0.479
4	1.7963057	233.18	0.456
4	1.7960925	187.21	0.458
4	1.7958795	201.93	0.451
4	1.7956665	272.67	0.425
4	1.7954534	267.93	0.508
4	1.7952403	187	0.504
4	1.7950273	182.05	0.459
4	1.7948141	268.9	0.441
4	1.7946011	273.57	0.402
4	1.7943879	265.69	0.411
4	1.7941749	255.43	0.423
4	1.7939618	198.03	0.465
4	1.7937486	142.07	0.475
4	1.7935356	183.24	0.482
4	1.7933224	159.59	0.453
4	1.7931093	250.49	0.442
4	1.7928962	270.43	0.455
4	1.792683	206.79	0.447
4	1.7924699	214.84	0.428
4	1.7922567	224.44	0.466
4	1.7920436	215.16	0.579
4	1.7918304	230.03	0.623
4	1.7916173	270.19	0.472
4	1.7914041	250.37	0.451
4	1.791191	227.63	0.477
4	1.7909778	251.13	0.459
4	1.7907646	197.1	0.456
4	1.7905514	222.23	0.453
4	1.7903383	223.77	0.481
4	1.790125	265.94	0.504
4	1.7899119	306.06	0.549
4	1.7896986	312.72	0.618
4	1.7894855	314.21	0.63
4	1.7892722	308.75	0.535
4	1.789059	309.35	0.494
4	1.7888458	266.04	0.546
4	1.7886326	240.27	0.729
4	1.7884194	302.07	1.519
4	1.7882061	312.03	40.002
4	1.7879928	297.65	100.54
4	1.7877796	309.09	77.827
4	1.7875663	297.42	7.168
4	1.7873532	263.99	0.818
4	1.7871399	215.03	0.62
4	1.7869266	186.59	0.809
4	1.7867134	280.55	0.76
4	1.7865	297.11	0.579
4	1.7862867	282.24	0.665
4	1.7860734	260.23	0.768
4	1.7858602	194.16	0.754
4	1.7856469	202.29	1.033
4	1.7854335	274.04	2.492
4	1.7852203	293.51	2.87
4	1.785007	236.77	1.67
4	1.7847936	131.01	1.032
4	1.7845803	117.41	0.626
4	1.784367	240.37	0.777
4	1.7841537	249.58	0.711
4	1.7839403	290.99	0.513
4	1.783727	310.85	0.994
4	1.7835137	314.26	2.012
4	1.7833003	302.28	2.901
4	1.7830869	300.94	4.703
4	1.7828736	316.79	4.588
4	1.7826602	319.98	2.227
4	1.7824469	316.35	1.389
4	1.7822335	320.84	1.76
4	1.7820201	324.07	2.39
4	1.7818067	109.31	1.98
4	1.7815933	140.53	0.962
4	1.7813799	250.06	2.119
4	1.7811666	152.7	8.523
4	1.7809532	207.85	8.582
4	1.7807398	298.54	2.523
4	1.7805263	318.53	0.463
4	1.7803129	319.24	0.369
4	1.7800995	327.58	0.389
4	1.779886	326.64	0.377
4	1.7796726	307.12	0.361
4	1.7794592	317.05	0.382
4	1.7792457	306.85	0.401
4	1.7790323	252.31	0.373
4	1.7788188	196.73	0.586
4	1.7786053	194.64	1.152
4	1.778392	263.34	1.115
4	1.7781785	277.04	0.995
4	1.7779649	317.48	2.664
4	1.7777516	311.4	3.371
4	1.7775381	320.35	2.782
4	1.7773246	327.86	2.399
4	1.7771111	323.01	2.153
4	1.7768975	315.09	1.3
4	1.776684	320.71	0.74
4	1.7764705	306.39	0.603
4	1.776257	257.34	0.418
4	1.7760435	213.68	0.408
4	1.77583	267.94	0.376
4	1.7756165	299.04	0.373
4	1.775403	316.07	0.38
4	1.7751894	326.48	0.396
4	1.7749759	320.5	0.345
4	1.7747624	317.8	0.372
4	1.7745488	311.06	0.364
4	1.7743353	272.89	0.404
4	1.7741218	275.23	0.396
4	1.7739081	246.13	0.467
4	1.7736946	283.57	1.817
4	1.773481	320.68	4.282
4	1.7732674	335.87	5.758
4	1.7730539	334.61	4.107
4	1.7728403	334.56	1.908
4	1.7726266	332.34	0.736
4	1.7724131	328.08	1.239
4	1.7721995	337.81	1.235
4	1.7719859	334.37	0.639
4	1.7717723	346.54	0.437
4	1.7715586	347.01	0.413
4	1.771345	341.27	0.483
4	1.7711314	335.81	0.548
4	1.7709178	327.09	0.502
4	1.7707042	285.68	0.447
4	1.7704905	275.04	0.499
4	1.7702769	330.9	0.697
4	1.7700633	338.65	7.529
4	1.7698497	322.55	14.369
4	1.7696359	301.92	11.307
4	1.7694223	321.51	3.3
4	1.7692087	327.4	1.58
4	1.7689949	337.52	2.954
4	1.7687813	338.31	4.903
4	1.7685676	341.64	5.788
4	1.7683539	344.38	5.188
4	1.7681402	327.64	2.574
4	1.7679266	341.21	0.636
4	1.7677128	342.06	0.7
4	1.7674992	347.07	3.554
4	1.7672855	345.24	38.623
4	1.7670717	344.84	53.269
4	1.766858	345.22	28.476
4	1.7666444	340.35	5.02
4	1.7664306	332.47	6.274
4	1.7662169	325.95	5.937
4	1.7660031	244.68	3.155
4	1.7657894	129.48	2.2
4	1.7655756	197.74	18.003
4	1.7653619	305.8	129.27
4	1.7651482	342.44	141.75
4	1.7649344	350.31	49.216
4	1.7647206	352.94	14.263
4	1.7645068	349.27	1.811
4	1.7642931	348.52	0.633
4	1.7640793	348.1	0.545
4	1.7638655	348.04	0.473
4	1.7636517	351.63	0.502
4	1.763438	355.22	0.472
4	1.7632241	339.51	0.489
4	1.7630104	301.52	1.261
4	1.7627965	314.76	1.931
4	1.7625828	335.48	2.041
4	1.7623689	308.28	2.393
4	1.7621552	335.25	2.045
4	1.7619413	353.42	0.672
4	1.7617275	360.85	0.837
4	1.7615136	359.82	1.731
4	1.7612998	352.36	2.452
4	1.761086	323.94	2.063
4	1.7608721	290.88	1.023
4	1.7606583	339.83	0.481
4	1.7604444	357.11	0.67
4	1.7602305	357.21	0.721
4	1.7600167	352.51	0.538
4	1.7598028	357.3	0.723
4	1.759589	360.45	1.124
4	1.7593751	364.55	1.118
4	1.7591612	363.69	1.038
4	1.7589474	360.29	0.901
4	1.7587334	365.38	0.635
4	1.7585195	364.05	0.389
4	1.7583057	358.95	0.342
4	1.7580917	358.36	0.37
4	1.7578778	358.11	0.35
4	1.757664	353.33	0.351
4	1.75745	298.33	0.35
4	1.7572361	286.05	0.359
4	1.7570221	341.54	0.398
4	1.7568083	310.75	0.544
4	1.7565943	302.66	0.759
4	1.7563803	355.07	0.668
4	1.7561665	362.47	0.437
4	1.7559525	361.71	0.353
4	1.7557385	363.37	0.363
4	1.7555245	356.51	0.362
4	1.7553105	338.45	0.467
4	1.7550967	277.91	1.16
4	1.7548827	299.37	1.237
4	1.7546687	359.56	0.873
4	1.7544547	366.92	1.665
4	1.7542408	367.17	2.405
4	1.7540268	364.24	1.757
4	1.7538127	366.34	1.37
4	1.7535987	369.35	1.607
4	1.7533847	363.66	1.512
4	1.7531707	368.62	4.989
4	1.7529567	368.72	10.963
4	1.7527426	363.13	10.813
4	1.7525287	363.87	4.701
4	1.7523147	367.78	0.519
4	1.7521006	370.42	0.404
4	1.7518866	363.63	0.404
4	1.7516725	342.78	0.39
4	1.7514585	276.72	0.389
4	1.7512444	312.27	0.408
4	1.7510304	360.7	0.579
4	1.7508163	361.47	5.137
4	1.7506022	364	24.282
4	1.7503883	368.47	24.312
4	1.7501742	373.3	12.019
4	1.7499601	370.23	8.212
4	1.749746	369.92	2.854
4	1.749532	369.24	0.457
4	1.7493179	365.63	0.446
4	1.7491038	368.98	0.471
4	1.7488897	368.59	0.53
4	1.7486756	371.73	0.516
4	1.7484615	366.77	0.841
4	1.7482474	369.63	1.105
4	1.7480333	370.98	1.255
4	1.7478192	371.52	1.127
4	1.747605	359.82	0.858
4	1.7473909	328.61	0.467
4	1.7471768	304.07	0.414
4	1.7469627	277.4	0.434
4	1.7467484	275.25	0.45
4	1.7465343	270.7	0.419
4	1.7463202	348.55	0.421
4	1.746106	359.67	0.44
4	1.7458919	363.3	0.434
4	1.7456777	366.42	0.545
4	1.7454636	367.63	0.962
4	1.7452494	368.81	9.239
4	1.7450352	372.04	57.447
4	1.7448211	373.12	58.471
4	1.7446069	355.97	14.037
4	1.7443926	312.61	0.877
4	1.7441785	323.47	0.518
4	1.7439643	366.19	0.48
4	1.7437501	366.52	0.436
4	1.7435359	365.97	0.689
4	1.7433217	358.54	1.84
4	1.7431074	355.16	2.408
4	1.7428932	365.73	12.03
4	1.742679	372.3	28.481
4	1.7424648	368.76	21.814
4	1.7422506	368.08	2.62
4	1.7420363	364.71	1.114
4	1.7418221	349.43	1.881
4	1.7416079	314.89	2.549
4	1.7413936	293.75	1.797
4	1.7411793	283.42	0.733
4	1.7409651	321.09	0.513
4	1.7407508	354.42	0.993
4	1.7405366	358.29	1.773
4	1.7403224	355.64	1.679
4	1.740108	351	0.912
4	1.7398938	335.89	0.549
4	1.7396795	317.17	0.5
4	1.7394652	336.79	0.495
4	1.7392509	345.4	0.63
4	1.7390366	346.22	1.337
4	1.7388223	349.71	29.186
4	1.738608	345.02	68.639
4	1.7383937	339.82	66.849
4	1.7381794	336.77	29.886
4	1.7379651	327.11	7.801
4	1.7377508	322.05	0.844
4	1.7375364	321.25	0.519
4	1.7373221	316.61	0.485
4	1.7371078	312.3	0.562
4	1.7368934	293.51	0.537
4	1.7366791	264.37	0.495
4	1.7364647	278.87	0.535
4	1.7362504	295.35	1.883
4	1.7360361	288.17	15.38
4	1.7358217	299.99	17.917
4	1.7356074	300.92	7.175
4	1.7353929	304.79	3.938
4	1.7351786	331.97	15.998
4	1.7349643	338.15	17.641
4	1.7347498	338.52	6.054
4	1.7345355	345.98	1.398
4	1.7343211	346.41	1.888
4	1.7341067	348.23	2.312
4	1.7338923	350.84	2.098
4	1.7336779	358.45	1.31
4	1.7334635	367.46	1.534
4	1.7332566	364.64	15.867
4	1.7330421	363.53	35.706
4	1.7328278	363.1	26.95
4	1.7326133	363.21	3.588
4	1.7323989	330.21	1.232
4	1.7321844	302.16	1.528
4	1.7319701	319.05	1.996
4	1.7317556	333.77	1.782
4	1.7315412	369.93	1.403
4	1.7313267	377.67	1.684
4	1.7311122	380.95	1.545
4	1.7308978	373.68	0.695
4	1.7306833	377.03	0.674
4	1.7304689	383.21	6.519
4	1.7302544	381.1	10.189
4	1.73004	384.9	6.33
4	1.7298255	384.99	0.719
4	1.729611	383.99	0.477
4	1.7293965	384.55	0.434
4	1.729182	387.85	0.505
4	1.7289675	381.92	0.904
4	1.7287531	363.46	1.831
4	1.7285385	374.64	3.919
4	1.7283241	371.16	16.389
4	1.7281095	385.78	16.513
4	1.727895	388.43	4.469
4	1.7276804	389.51	1.73
4	1.727466	394.04	2.731
4	1.7272514	389.66	2.06
4	1.727037	390.98	0.692
4	1.7268224	386.9	0.485
4	1.7266078	391.21	0.467
4	1.7263933	391.91	0.421
4	1.7261788	384.17	0.526
4	1.7259642	379.49	1.847
4	1.7257496	396.23	5.661
4	1.7255352	400.05	4.97
4	1.7253206	393.68	1.82
4	1.725106	394.73	14.013
4	1.7248914	392.33	57.537
4	1.7246768	379.07	58.445
4	1.7244623	368.45	22.876
4	1.7242477	368.38	10.264
4	1.7240331	384.49	5.292
4	1.7238185	395.62	0.885
4	1.723604	374.84	0.51
4	1.7233893	357.28	0.941
4	1.7231747	393.46	2.21
4	1.7229601	393.45	2.434
4	1.7227455	388	1.492
4	1.7225308	395.97	0.673
4	1.7223163	402.88	1.842
4	1.7221017	397.26	2.757
4	1.721887	400.68	1.919
4	1.7216724	402.22	1.679
4	1.7214577	378.91	3.189
4	1.7212431	341.86	14.124
4	1.7210284	359.17	36.607
4	1.7208139	398.35	30.632
4	1.7205992	404.78	4.811
4	1.7203845	407.31	0.553
4	1.7201699	410.22	0.446
4	1.7199552	403.4	0.487
4	1.7197405	407.07	1.513
4	1.7195258	406.65	2.045
4	1.7193112	408.03	1.432
4	1.7190965	408.63	2.12
4	1.7188818	406.92	5.091
4	1.7186671	408.63	4.232
4	1.7184525	411.95	0.908
4	1.7182378	411.76	0.764
4	1.7180231	411.3	1.851
4	1.7178084	412.69	2.728
4	1.7175937	413.39	4.919
4	1.717379	410.47	5.964
4	1.7171643	415.09	4.407
4	1.7169495	409.13	2.454
4	1.7167348	412.42	1.473
4	1.7165201	412.25	0.676
4	1.7163054	406.3	0.62
4	1.7160906	390.43	0.491
4	1.7158759	392.34	0.388
4	1.7156612	412.81	0.376
4	1.7154464	414.46	0.404
4	1.7152317	398.72	0.407
4	1.7150168	397.83	0.394
4	1.7148021	411.95	0.424
4	1.7145873	398.55	0.444
4	1.7143726	389.8	0.49
4	1.7141578	377.13	0.488
4	1.713943	402.19	0.461
4	1.7137283	404.71	0.465
4	1.7135135	409.02	0.469
4	1.7132987	417.21	0.491
4	1.7130839	419.84	0.549
4	1.7128692	415.43	0.85
4	1.7126544	416.6	11.903
4	1.7124395	418.04	91.531
4	1.7122247	417.77	110.19
4	1.7120099	415.04	41.793
4	1.7117951	411.39	2.656
4	1.7115803	416.41	1.559
4	1.7113655	413.53	1.717
4	1.7111506	413.23	1.892
4	1.7109358	420.19	2.301
4	1.710721	412.54	2.305
4	1.7105062	406.02	2.659
4	1.7102913	413.36	2.842
4	1.7100765	415.84	2.465
4	1.7098616	418.87	2.048
4	1.7096468	419.4	1.135
4	1.7094319	416.82	0.68
4	1.7092171	415.1	0.566
4	1.7090021	412.41	0.464
4	1.7087873	395.43	0.527
4	1.7085725	385.87	0.573
4	1.7083576	397.74	0.66
4	1.7081428	416.24	2.939
4	1.7079278	416.68	39.163
4	1.7077129	415.01	50.875
4	1.7074981	407.82	22.388
4	1.7072831	416.97	3.353
4	1.7070682	418.19	2.801
4	1.7068534	420.52	2.039
4	1.7066385	409.15	0.732
4	1.7064235	414.84	0.445
4	1.7062086	414.88	0.425
4	1.7059937	412.48	0.654
4	1.7057788	418.7	3.491
4	1.7055639	420.95	4.96
4	1.705349	417.17	3.161
4	1.705134	415.09	1.31
4	1.7049191	420.51	0.813
4	1.7047042	421.63	0.619
4	1.7044892	417.63	0.485
4	1.7042743	421.23	0.467
4	1.7040592	421.69	0.473
4	1.7038443	424.02	0.491
4	1.7036294	417.62	0.453
4	1.7034144	418.62	0.472
4	1.7031995	418.97	0.513
4	1.7029845	426.13	0.552
4	1.7027695	421.71	0.568
4	1.7025546	417.53	0.535
4	1.7023395	423.54	0.528
4	1.7021246	427.55	0.532
4	1.7019095	425.2	0.533
4	1.7016946	421.42	0.624
4	1.7014796	427.77	1.209
4	1.7012646	426.67	3.394
4	1.7010496	420.46	57.9
4	1.7008346	413.8	140.9
4	1.7006196	422.55	109.02
4	1.7004045	426.43	12.286
4	1.7001896	424.83	0.946
4	1.6999745	422.03	0.646
4	1.6997595	417.25	0.663
4	1.6995444	423.39	0.669
4	1.6993294	425.55	0.621
4	1.6991144	431.43	0.927
4	1.6988994	430.59	1.01
4	1.6986843	432.25	0.783
4	1.6984693	428.5	0.6
4	1.6982542	429.3	0.547
4	1.6980392	427.47	0.466
4	1.6978241	425.7	0.454
4	1.6976091	425.5	0.478
4	1.697394	423.88	0.52
4	1.6971788	405.93	0.529
4	1.6969638	415.59	0.49
4	1.6967487	422.47	0.478
4	1.6965337	419.78	0.469
4	1.6963186	431.17	0.517
4	1.6961035	434.65	0.596
4	1.6958884	435.23	1.069
4	1.6956733	435.88	25.408
4	1.6954582	436.77	59.39
4	1.6952431	434.05	44.563
4	1.6950279	435.38	4.26
4	1.6948129	431.8	0.688
4	1.6945977	429.81	0.774
4	1.6943827	429.68	0.76
4	1.6941675	427.15	0.534
4	1.6939524	424.61	0.444
4	1.6937447	423.25	0.481
4	1.6935295	433.74	0.439
4	1.6933143	432.17	0.447
4	1.6930993	435.99	0.47
4	1.6928841	428.96	0.463
4	1.6926689	433.55	0.5
4	1.6924537	412.18	0.56
4	1.6922386	408.29	0.519
4	1.6920234	427.98	0.562
4	1.6918083	416.81	0.586
4	1.6915932	424.43	0.952
4	1.691378	424.67	1.694
4	1.6911628	427.68	2.683
4	1.6909477	428.67	4.378
4	1.6907325	418.76	6.721
4	1.6905172	412.54	73.291
4	1.690302	417.82	129.96
4	1.6900868	429.44	91.363
4	1.6898717	427.29	8.186
4	1.6896565	425.06	2.094
4	1.6894413	421.67	1.02
4	1.689226	421.88	1.274
4	1.6890109	427.58	2.604
4	1.6887957	429.61	2.55
4	1.6885804	426.04	1.346
4	1.6883652	431.51	1.02
4	1.6881499	425.19	0.975
4	1.6879348	426.72	0.783
4	1.6877195	425.21	1.497
4	1.6875043	426.74	1.578
4	1.687289	416.28	1.153
4	1.6870738	414.85	1.068
4	1.6868585	419.86	0.852
4	1.6866434	417.79	0.408
4	1.6864281	424.19	0.405
4	1.6862128	421.75	0.421
4	1.6859976	425.64	0.423
4	1.6857823	425.46	0.41
4	1.685567	417.32	0.467
4	1.6853517	419.66	0.669
4	1.6851364	416.17	0.69
4	1.6849211	418.61	0.522
4	1.684706	415.58	0.57
4	1.6844907	414.97	0.883
4	1.6842754	406.25	7.753
4	1.6840601	400.54	30.654
4	1.6838448	378.34	28.776
4	1.6836295	399.24	5.872
4	1.6834142	404.88	0.569
4	1.6831988	398.12	0.447
4	1.6829835	399.05	0.386
4	1.6827682	397.67	0.399
4	1.6825529	388.5	0.377
4	1.6823376	385.99	0.375
4	1.6821222	386.3	0.377
4	1.6819069	379.2	0.362
4	1.6816916	372.9	0.392
4	1.6814762	367.56	0.35
4	1.6812609	357.99	0.359
4	1.6810457	357.87	0.358
4	1.6808302	354.55	0.423
4	1.6806149	351.92	1.133
4	1.6803995	368.34	1.618
4	1.6801842	376.39	1.513
4	1.6799688	384.6	1.571
4	1.6797535	387.08	1.367
4	1.6795381	395.88	0.765
4	1.6793227	400.31	0.719
4	1.6791074	401.76	0.643
4	1.678892	405.85	0.434
4	1.6786766	405.05	0.346
4	1.6784613	409.42	0.366
4	1.6782459	408.91	0.388
4	1.6780305	415.16	0.366
4	1.6778151	411.75	0.356
4	1.6775997	404.67	0.414
4	1.6773843	404.31	0.428
4	1.677169	422.1	0.409
4	1.6769536	425.11	0.445
4	1.6767381	426.62	1.217
4	1.6765227	429.34	4.316
4	1.6763073	428.46	6.259
4	1.6760918	426.84	4.907
4	1.6758764	431.24	3.312
4	1.675661	432.78	3.814
4	1.6754456	430.02	5.89
4	1.6752301	427.99	4.348
4	1.6750147	433.47	1.48
4	1.6747992	435.03	0.596
4	1.6745838	435.43	0.501
4	1.6743684	425.11	0.456
4	1.674153	431.11	0.476
4	1.6739374	439.76	0.508
4	1.673722	439.63	0.728
4	1.6735065	441.7	7.536
4	1.6732911	442.99	22.698
4	1.6730757	442.83	23.237
4	1.6728601	445.42	9.123
4	1.6726447	445.83	2.575
4	1.6724292	449.77	3.921
4	1.6722137	442.99	3.574
4	1.6719983	447.81	2.681
4	1.6717827	446.11	2.703
4	1.6715672	447.9	2.036
4	1.6713518	444.6	1.526
4	1.6711363	441.41	10.574
4	1.6709207	444.38	59.064
4	1.6707053	435.26	60.512
4	1.6704898	447.1	19.339
4	1.6702743	447.27	7.478
4	1.6700587	449.14	6.524
4	1.6698432	448.35	2.407
4	1.6696277	455.25	2.143
4	1.6694121	451.3	66.395
4	1.6691966	452.82	170.69
4	1.6689811	456.99	147.66
4	1.6687655	452.27	32.416
4	1.66855	448.18	8.539
4	1.6683345	450.75	1.03
4	1.668119	444.16	0.666
4	1.6679034	445.82	0.556
4	1.6676879	448.15	0.578
4	1.6674724	454.93	0.547
4	1.6672567	444.22	0.506
4	1.6670412	435.1	0.545
4	1.6668257	439.24	0.727
4	1.6666101	431.52	0.963
4	1.6663945	427.77	0.836
4	1.6661789	423.11	1.015
4	1.6659633	415.26	1.519
4	1.6657478	407.7	1.292
4	1.6655322	394.4	0.996
4	1.6653166	400.92	0.981
4	1.6651011	433.84	0.716
4	1.6648927	457.26	0.438
4	1.664677	449.26	0.394
4	1.6644615	455.24	0.407
4	1.6642458	456.7	0.416
4	1.6640303	458.97	0.486
4	1.6638147	458.43	0.552
4	1.663599	451.35	0.597
4	1.6633834	451.55	0.498
4	1.6631678	459.78	0.417
4	1.6629522	454.53	0.41
4	1.6627365	456.89	0.412
4	1.6625209	453.87	0.442
4	1.6623052	448.65	0.394
4	1.6620897	449.56	0.395
